EHDSAddress; ; 0..*; EHDS refined base model for Address structure; ;   ; Address model 
EHDSImagingReportObligations; ndedRecipient[x]; 0..*; Information recipient (intended recipient or recipients of the report, additional recipients might be identified by the ordering party, e.g. GP, other specialist), if applicable; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient;   ; Information recipient (intended recipient or recipients of the report, additional recipients might be identified by the ordering party, e.g. GP, other specialist), if applicable 
EHDSImagingReportObligations; ndedRecipient[x]; 0..*; Information recipient (intended recipient or recipients of the report, additional recipients might be identified by the ordering party, e.g. GP, other specialist), if applicable; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSRelatedPerson;   ; Information recipient (intended recipient or recipients of the report, additional recipients might be identified by the ordering party, e.g. GP, other specialist), if applicable 
EHDSImagingReportObligations; ndedRecipient[x]; 0..*; Information recipient (intended recipient or recipients of the report, additional recipients might be identified by the ordering party, e.g. GP, other specialist), if applicable; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional;   ; Information recipient (intended recipient or recipients of the report, additional recipients might be identified by the ordering party, e.g. GP, other specialist), if applicable 
EHDSImagingReportObligations; ndedRecipient[x]; 0..*; Information recipient (intended recipient or recipients of the report, additional recipients might be identified by the ordering party, e.g. GP, other specialist), if applicable; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation;   ; Information recipient (intended recipient or recipients of the report, additional recipients might be identified by the ordering party, e.g. GP, other specialist), if applicable 
EHDSImagingReportObligations; ndedRecipient[x]; 0..*; Information recipient (intended recipient or recipients of the report, additional recipients might be identified by the ordering party, e.g. GP, other specialist), if applicable; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice;   ; Information recipient (intended recipient or recipients of the report, additional recipients might be identified by the ordering party, e.g. GP, other specialist), if applicable 
EHDSImagingReportObligations; rm; 0..*; A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSAttachment;   ; A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document 
EHDSImagingReportObligations; ; 0..1; Imaging report structured body; Base;   ; Imaging report structured body 
EHDSImagingReportObligations; nformation; 0..*; Order Information (Imaging Result Report could respond to multiple orders).; Base;   ; Order Information (Imaging Result Report could respond to multiple orders). 
EHDSImagingReportObligations; nformation.orderId; 1..*; Identifier(s) of the imaging service order.; Identifier;   ; Identifier(s) of the imaging service order. 
EHDSImagingReportObligations; nformation.orderDateAndTime; 0..1; Date and time of the order placement.; dateTime;   ; Date and time of the order placement. 
EHDSImagingReportObligations; nformation.orderPlacer[x]; 0..1; The person/organisation "authorised" to place the order. Order placer could be either a health professional, health professional organisation or the patient himself.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional;   ; The person/organisation "authorised" to place the order. Order placer could be either a health professional, health professional organisation or the patient himself. 
EHDSImagingReportObligations; nformation.orderPlacer[x]; 0..1; The person/organisation "authorised" to place the order. Order placer could be either a health professional, health professional organisation or the patient himself.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation;   ; The person/organisation "authorised" to place the order. Order placer could be either a health professional, health professional organisation or the patient himself. 
EHDSImagingReportObligations; nformation.orderPlacer[x]; 0..1; The person/organisation "authorised" to place the order. Order placer could be either a health professional, health professional organisation or the patient himself.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient;   ; The person/organisation "authorised" to place the order. Order placer could be either a health professional, health professional organisation or the patient himself. 
EHDSImagingReportObligations; nformation.orderReason[x]; 0..*; An explanation or justification for why this service is being requested.; CodeableConcept; SNOMED CT (preferred)  ; An explanation or justification for why this service is being requested. 
EHDSImagingReportObligations; nformation.orderReason[x]; 0..*; An explanation or justification for why this service is being requested.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSCondition; SNOMED CT (preferred)  ; An explanation or justification for why this service is being requested. 
EHDSImagingReportObligations; nformation.orderReason[x]; 0..*; An explanation or justification for why this service is being requested.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSObservation; SNOMED CT (preferred)  ; An explanation or justification for why this service is being requested. 
EHDSImagingReportObligations; nformation.orderReason[x]; 0..*; An explanation or justification for why this service is being requested.; string; SNOMED CT (preferred)  ; An explanation or justification for why this service is being requested. 
EHDSImagingReportObligations; nformation.clinicalQuestion; 0..1; Specification of clinical question (goal of the investigation) to be answered by the imaging investigation.; string;   ; Specification of clinical question (goal of the investigation) to be answered by the imaging investigation. 
EHDSImagingReportObligations; tingInformation; 0..1; This information includes diagnosis, clinical findings and other observations. This includes observations explicitly requested by the producer (filler) to provide context or supporting information needed to complete the order. For example, reporting the metal implants present in patient's body.; Base;   ; Additional clinical information about the patient or specimen that may affect service delivery or interpretation (additional types of information may be allowed in implementations). 
